date,plant,planned_output_tons,actual_output_tons
2025-01-01,Jamshedpur,1111,877
2025-01-01,Kalinganagar,1280,857
2025-01-01,Meramandali,1287,859
2025-01-02,Jamshedpur,933,831
2025-01-02,Kalinganagar,1124,1151
2025-01-02,Meramandali,1252,982
2025-01-03,Jamshedpur,1134,902
2025-01-03,Kalinganagar,1118,1064
2025-01-03,Meramandali,1297,692
2025-01-04,Jamshedpur,1211,1039
2025-01-04,Kalinganagar,1268,970
2025-01-04,Meramandali,1101,1235
2025-01-05,Jamshedpur,1204,1199
2025-01-05,Kalinganagar,1168,689
2025-01-05,Meramandali,1166,761
2025-01-06,Jamshedpur,1131,1117
2025-01-06,Kalinganagar,921,901
2025-01-06,Meramandali,1165,1200
2025-01-07,Jamshedpur,1102,690
2025-01-07,Kalinganagar,1185,1046
2025-01-07,Meramandali,1164,700
2025-01-08,Jamshedpur,997,948
2025-01-08,Kalinganagar,1125,1057
2025-01-08,Meramandali,1055,942
2025-01-09,Jamshedpur,1136,820
2025-01-09,Kalinganagar,1116,951
2025-01-09,Meramandali,1213,705
2025-01-10,Jamshedpur,1253,1179
2025-01-10,Kalinganagar,972,1124
2025-01-10,Meramandali,1230,1112
2025-01-11,Jamshedpur,946,1162
2025-01-11,Kalinganagar,957,834
2025-01-11,Meramandali,1298,1249
2025-01-12,Jamshedpur,1256,1209
2025-01-12,Kalinganagar,969,1052
2025-01-12,Meramandali,1111,981
2025-01-13,Jamshedpur,1130,675
2025-01-13,Kalinganagar,991,1114
2025-01-13,Meramandali,1202,856
2025-01-14,Jamshedpur,1132,742
2025-01-14,Kalinganagar,1028,981
2025-01-14,Meramandali,1254,817
2025-01-15,Jamshedpur,1267,776
2025-01-15,Kalinganagar,946,766
2025-01-15,Meramandali,1261,1110
2025-01-16,Jamshedpur,1224,1021
2025-01-16,Kalinganagar,943,1186
2025-01-16,Meramandali,1262,1043
2025-01-17,Jamshedpur,1272,1173
2025-01-17,Kalinganagar,1213,813
2025-01-17,Meramandali,1093,1213
2025-01-18,Jamshedpur,1094,694
2025-01-18,Kalinganagar,1293,824
2025-01-18,Meramandali,1071,1229
2025-01-19,Jamshedpur,1237,803
2025-01-19,Kalinganagar,983,798
2025-01-19,Meramandali,991,702
2025-01-20,Jamshedpur,1114,965
2025-01-20,Kalinganagar,1058,1106
2025-01-20,Meramandali,1047,835
2025-01-21,Jamshedpur,960,784
2025-01-21,Kalinganagar,1003,653
2025-01-21,Meramandali,1218,909
2025-01-22,Jamshedpur,906,1119
2025-01-22,Kalinganagar,1154,1160
2025-01-22,Meramandali,1178,655
2025-01-23,Jamshedpur,1211,1155
2025-01-23,Kalinganagar,1021,872
2025-01-23,Meramandali,1201,1137
2025-01-24,Jamshedpur,1132,1069
2025-01-24,Kalinganagar,1126,731
2025-01-24,Meramandali,1207,656
2025-01-25,Jamshedpur,1025,1210
2025-01-25,Kalinganagar,1042,1220
2025-01-25,Meramandali,1006,700
2025-01-26,Jamshedpur,994,801
2025-01-26,Kalinganagar,928,1007
2025-01-26,Meramandali,918,798
2025-01-27,Jamshedpur,916,1241
2025-01-27,Kalinganagar,1208,955
2025-01-27,Meramandali,1069,739
2025-01-28,Jamshedpur,925,761
2025-01-28,Kalinganagar,1113,832
2025-01-28,Meramandali,982,941
2025-01-29,Jamshedpur,1212,1236
2025-01-29,Kalinganagar,1187,831
2025-01-29,Meramandali,1133,1242
2025-01-30,Jamshedpur,1084,686
2025-01-30,Kalinganagar,947,956
2025-01-30,Meramandali,1065,1027
