employee_id,date,scheduled_hours,actual_hours_worked
E001,2025-01-01,8,4
E001,2025-01-02,8,3
E001,2025-01-03,8,6
E001,2025-01-04,8,5
E001,2025-01-05,8,5
E001,2025-01-06,8,8
E001,2025-01-07,8,0
E001,2025-01-08,8,3
E001,2025-01-09,8,5
E001,2025-01-10,8,7
E001,2025-01-11,8,3
E001,2025-01-12,8,7
E001,2025-01-13,8,0
E001,2025-01-14,8,8
E001,2025-01-15,8,6
E001,2025-01-16,8,6
E001,2025-01-17,8,5
E001,2025-01-18,8,8
E001,2025-01-19,8,0
E001,2025-01-20,8,7
E001,2025-01-21,8,5
E001,2025-01-22,8,0
E001,2025-01-23,8,8
E001,2025-01-24,8,7
E001,2025-01-25,8,8
E001,2025-01-26,8,8
E001,2025-01-27,8,7
E001,2025-01-28,8,8
E001,2025-01-29,8,0
E001,2025-01-30,8,6
E002,2025-01-01,8,7
E002,2025-01-02,8,4
E002,2025-01-03,8,0
E002,2025-01-04,8,0
E002,2025-01-05,8,7
E002,2025-01-06,8,6
E002,2025-01-07,8,5
E002,2025-01-08,8,4
E002,2025-01-09,8,0
E002,2025-01-10,8,6
E002,2025-01-11,8,0
E002,2025-01-12,8,0
E002,2025-01-13,8,7
E002,2025-01-14,8,0
E002,2025-01-15,8,8
E002,2025-01-16,8,5
E002,2025-01-17,8,3
E002,2025-01-18,8,8
E002,2025-01-19,8,4
E002,2025-01-20,8,4
E002,2025-01-21,8,3
E002,2025-01-22,8,6
E002,2025-01-23,8,6
E002,2025-01-24,8,0
E002,2025-01-25,8,8
E002,2025-01-26,8,0
E002,2025-01-27,8,0
E002,2025-01-28,8,0
E002,2025-01-29,8,4
E002,2025-01-30,8,3
E003,2025-01-01,8,0
E003,2025-01-02,8,4
E003,2025-01-03,8,0
E003,2025-01-04,8,7
E003,2025-01-05,8,3
E003,2025-01-06,8,0
E003,2025-01-07,8,6
E003,2025-01-08,8,6
E003,2025-01-09,8,0
E003,2025-01-10,8,0
E003,2025-01-11,8,8
E003,2025-01-12,8,0
E003,2025-01-13,8,0
E003,2025-01-14,8,4
E003,2025-01-15,8,7
E003,2025-01-16,8,0
E003,2025-01-17,8,5
E003,2025-01-18,8,0
E003,2025-01-19,8,8
E003,2025-01-20,8,4
E003,2025-01-21,8,5
E003,2025-01-22,8,7
E003,2025-01-23,8,4
E003,2025-01-24,8,4
E003,2025-01-25,8,0
E003,2025-01-26,8,8
E003,2025-01-27,8,3
E003,2025-01-28,8,0
E003,2025-01-29,8,0
E003,2025-01-30,8,7
E004,2025-01-01,8,0
E004,2025-01-02,8,0
E004,2025-01-03,8,4
E004,2025-01-04,8,0
E004,2025-01-05,8,0
E004,2025-01-06,8,7
E004,2025-01-07,8,0
E004,2025-01-08,8,0
E004,2025-01-09,8,5
E004,2025-01-10,8,6
E004,2025-01-11,8,0
E004,2025-01-12,8,6
E004,2025-01-13,8,5
E004,2025-01-14,8,0
E004,2025-01-15,8,0
E004,2025-01-16,8,6
E004,2025-01-17,8,8
E004,2025-01-18,8,0
E004,2025-01-19,8,6
E004,2025-01-20,8,7
E004,2025-01-21,8,6
E004,2025-01-22,8,3
E004,2025-01-23,8,0
E004,2025-01-24,8,6
E004,2025-01-25,8,3
E004,2025-01-26,8,6
E004,2025-01-27,8,4
E004,2025-01-28,8,0
E004,2025-01-29,8,5
E004,2025-01-30,8,0
E005,2025-01-01,8,6
E005,2025-01-02,8,3
E005,2025-01-03,8,0
E005,2025-01-04,8,8
E005,2025-01-05,8,5
E005,2025-01-06,8,8
E005,2025-01-07,8,8
E005,2025-01-08,8,3
E005,2025-01-09,8,4
E005,2025-01-10,8,7
E005,2025-01-11,8,4
E005,2025-01-12,8,6
E005,2025-01-13,8,7
E005,2025-01-14,8,6
E005,2025-01-15,8,5
E005,2025-01-16,8,7
E005,2025-01-17,8,4
E005,2025-01-18,8,3
E005,2025-01-19,8,5
E005,2025-01-20,8,0
E005,2025-01-21,8,0
E005,2025-01-22,8,3
E005,2025-01-23,8,3
E005,2025-01-24,8,8
E005,2025-01-25,8,7
E005,2025-01-26,8,5
E005,2025-01-27,8,0
E005,2025-01-28,8,3
E005,2025-01-29,8,3
E005,2025-01-30,8,0
E006,2025-01-01,8,0
E006,2025-01-02,8,6
E006,2025-01-03,8,8
E006,2025-01-04,8,0
E006,2025-01-05,8,6
E006,2025-01-06,8,8
E006,2025-01-07,8,7
E006,2025-01-08,8,0
E006,2025-01-09,8,0
E006,2025-01-10,8,0
E006,2025-01-11,8,5
E006,2025-01-12,8,3
E006,2025-01-13,8,6
E006,2025-01-14,8,6
E006,2025-01-15,8,0
E006,2025-01-16,8,3
E006,2025-01-17,8,0
E006,2025-01-18,8,4
E006,2025-01-19,8,0
E006,2025-01-20,8,5
E006,2025-01-21,8,5
E006,2025-01-22,8,7
E006,2025-01-23,8,7
E006,2025-01-24,8,7
E006,2025-01-25,8,3
E006,2025-01-26,8,8
E006,2025-01-27,8,0
E006,2025-01-28,8,0
E006,2025-01-29,8,8
E006,2025-01-30,8,0
E007,2025-01-01,8,0
E007,2025-01-02,8,0
E007,2025-01-03,8,3
E007,2025-01-04,8,4
E007,2025-01-05,8,0
E007,2025-01-06,8,5
E007,2025-01-07,8,6
E007,2025-01-08,8,6
E007,2025-01-09,8,5
E007,2025-01-10,8,0
E007,2025-01-11,8,5
E007,2025-01-12,8,4
E007,2025-01-13,8,8
E007,2025-01-14,8,5
E007,2025-01-15,8,8
E007,2025-01-16,8,4
E007,2025-01-17,8,8
E007,2025-01-18,8,0
E007,2025-01-19,8,8
E007,2025-01-20,8,3
E007,2025-01-21,8,5
E007,2025-01-22,8,5
E007,2025-01-23,8,5
E007,2025-01-24,8,8
E007,2025-01-25,8,5
E007,2025-01-26,8,3
E007,2025-01-27,8,8
E007,2025-01-28,8,8
E007,2025-01-29,8,0
E007,2025-01-30,8,3
E008,2025-01-01,8,6
E008,2025-01-02,8,0
E008,2025-01-03,8,0
E008,2025-01-04,8,4
E008,2025-01-05,8,5
E008,2025-01-06,8,0
E008,2025-01-07,8,3
E008,2025-01-08,8,0
E008,2025-01-09,8,0
E008,2025-01-10,8,7
E008,2025-01-11,8,4
E008,2025-01-12,8,7
E008,2025-01-13,8,3
E008,2025-01-14,8,3
E008,2025-01-15,8,0
E008,2025-01-16,8,7
E008,2025-01-17,8,0
E008,2025-01-18,8,0
E008,2025-01-19,8,0
E008,2025-01-20,8,7
E008,2025-01-21,8,0
E008,2025-01-22,8,7
E008,2025-01-23,8,7
E008,2025-01-24,8,4
E008,2025-01-25,8,5
E008,2025-01-26,8,4
E008,2025-01-27,8,4
E008,2025-01-28,8,4
E008,2025-01-29,8,6
E008,2025-01-30,8,0
E009,2025-01-01,8,0
E009,2025-01-02,8,3
E009,2025-01-03,8,5
E009,2025-01-04,8,8
E009,2025-01-05,8,0
E009,2025-01-06,8,8
E009,2025-01-07,8,5
E009,2025-01-08,8,6
E009,2025-01-09,8,7
E009,2025-01-10,8,8
E009,2025-01-11,8,5
E009,2025-01-12,8,3
E009,2025-01-13,8,4
E009,2025-01-14,8,7
E009,2025-01-15,8,6
E009,2025-01-16,8,6
E009,2025-01-17,8,8
E009,2025-01-18,8,0
E009,2025-01-19,8,7
E009,2025-01-20,8,0
E009,2025-01-21,8,0
E009,2025-01-22,8,7
E009,2025-01-23,8,6
E009,2025-01-24,8,7
E009,2025-01-25,8,3
E009,2025-01-26,8,4
E009,2025-01-27,8,8
E009,2025-01-28,8,7
E009,2025-01-29,8,4
E009,2025-01-30,8,0
E010,2025-01-01,8,0
E010,2025-01-02,8,4
E010,2025-01-03,8,0
E010,2025-01-04,8,0
E010,2025-01-05,8,6
E010,2025-01-06,8,6
E010,2025-01-07,8,5
E010,2025-01-08,8,4
E010,2025-01-09,8,6
E010,2025-01-10,8,0
E010,2025-01-11,8,8
E010,2025-01-12,8,0
E010,2025-01-13,8,6
E010,2025-01-14,8,5
E010,2025-01-15,8,5
E010,2025-01-16,8,6
E010,2025-01-17,8,8
E010,2025-01-18,8,0
E010,2025-01-19,8,0
E010,2025-01-20,8,4
E010,2025-01-21,8,7
E010,2025-01-22,8,0
E010,2025-01-23,8,0
E010,2025-01-24,8,4
E010,2025-01-25,8,7
E010,2025-01-26,8,5
E010,2025-01-27,8,0
E010,2025-01-28,8,0
E010,2025-01-29,8,3
E010,2025-01-30,8,8
E011,2025-01-01,8,5
E011,2025-01-02,8,7
E011,2025-01-03,8,0
E011,2025-01-04,8,4
E011,2025-01-05,8,6
E011,2025-01-06,8,8
E011,2025-01-07,8,6
E011,2025-01-08,8,7
E011,2025-01-09,8,6
E011,2025-01-10,8,0
E011,2025-01-11,8,0
E011,2025-01-12,8,6
E011,2025-01-13,8,6
E011,2025-01-14,8,7
E011,2025-01-15,8,3
E011,2025-01-16,8,6
E011,2025-01-17,8,7
E011,2025-01-18,8,3
E011,2025-01-19,8,8
E011,2025-01-20,8,7
E011,2025-01-21,8,0
E011,2025-01-22,8,6
E011,2025-01-23,8,0
E011,2025-01-24,8,5
E011,2025-01-25,8,0
E011,2025-01-26,8,0
E011,2025-01-27,8,4
E011,2025-01-28,8,7
E011,2025-01-29,8,0
E011,2025-01-30,8,6
E012,2025-01-01,8,5
E012,2025-01-02,8,0
E012,2025-01-03,8,0
E012,2025-01-04,8,0
E012,2025-01-05,8,6
E012,2025-01-06,8,4
E012,2025-01-07,8,3
E012,2025-01-08,8,0
E012,2025-01-09,8,7
E012,2025-01-10,8,0
E012,2025-01-11,8,8
E012,2025-01-12,8,6
E012,2025-01-13,8,3
E012,2025-01-14,8,0
E012,2025-01-15,8,5
E012,2025-01-16,8,0
E012,2025-01-17,8,5
E012,2025-01-18,8,0
E012,2025-01-19,8,8
E012,2025-01-20,8,0
E012,2025-01-21,8,7
E012,2025-01-22,8,4
E012,2025-01-23,8,4
E012,2025-01-24,8,6
E012,2025-01-25,8,8
E012,2025-01-26,8,6
E012,2025-01-27,8,8
E012,2025-01-28,8,3
E012,2025-01-29,8,5
E012,2025-01-30,8,5
E013,2025-01-01,8,5
E013,2025-01-02,8,0
E013,2025-01-03,8,4
E013,2025-01-04,8,0
E013,2025-01-05,8,4
E013,2025-01-06,8,3
E013,2025-01-07,8,0
E013,2025-01-08,8,6
E013,2025-01-09,8,4
E013,2025-01-10,8,0
E013,2025-01-11,8,6
E013,2025-01-12,8,8
E013,2025-01-13,8,6
E013,2025-01-14,8,8
E013,2025-01-15,8,3
E013,2025-01-16,8,0
E013,2025-01-17,8,7
E013,2025-01-18,8,8
E013,2025-01-19,8,0
E013,2025-01-20,8,6
E013,2025-01-21,8,4
E013,2025-01-22,8,0
E013,2025-01-23,8,0
E013,2025-01-24,8,4
E013,2025-01-25,8,0
E013,2025-01-26,8,7
E013,2025-01-27,8,8
E013,2025-01-28,8,3
E013,2025-01-29,8,0
E013,2025-01-30,8,3
E014,2025-01-01,8,7
E014,2025-01-02,8,0
E014,2025-01-03,8,4
E014,2025-01-04,8,4
E014,2025-01-05,8,7
E014,2025-01-06,8,8
E014,2025-01-07,8,8
E014,2025-01-08,8,8
E014,2025-01-09,8,5
E014,2025-01-10,8,0
E014,2025-01-11,8,7
E014,2025-01-12,8,8
E014,2025-01-13,8,3
E014,2025-01-14,8,5
E014,2025-01-15,8,0
E014,2025-01-16,8,4
E014,2025-01-17,8,7
E014,2025-01-18,8,7
E014,2025-01-19,8,4
E014,2025-01-20,8,6
E014,2025-01-21,8,8
E014,2025-01-22,8,3
E014,2025-01-23,8,0
E014,2025-01-24,8,4
E014,2025-01-25,8,8
E014,2025-01-26,8,0
