employee_id,role,primary_skill,plant,hourly_cost_inr
E001,Operator,Welding,Meramandali,631
E002,Technician,Rolling,Jamshedpur,454
E003,Operator,Mechanical,Kalinganagar,382
E004,Operator,Welding,Jamshedpur,588
E005,Operator,Mechanical,Jamshedpur,908
E006,Supervisor,Rolling,Kalinganagar,634
E007,Operator,Rolling,Meramandali,782
E008,Maintenance,Inspection,Jamshedpur,570
E009,Maintenance,Welding,Jamshedpur,739
E010,Operator,Inspection,Kalinganagar,620
E011,Operator,Electrical,Meramandali,477
E012,Supervisor,Welding,Meramandali,650
E013,Maintenance,Mechanical,Jamshedpur,421
E014,Operator,Rolling,Kalinganagar,431
E015,Technician,Welding,Kalinganagar,634
E016,Supervisor,Inspection,Jamshedpur,729
E017,Maintenance,Rolling,Meramandali,623
E018,Operator,Mechanical,Meramandali,525
E019,Technician,Rolling,Kalinganagar,738
E020,Maintenance,Mechanical,Jamshedpur,682
E021,Operator,Rolling,Jamshedpur,673
E022,Supervisor,Inspection,Jamshedpur,566
E023,Maintenance,Rolling,Meramandali,861
E024,Supervisor,Electrical,Jamshedpur,621
E025,Technician,Rolling,Meramandali,924
E026,Maintenance,Mechanical,Kalinganagar,947
E027,Supervisor,Inspection,Jamshedpur,491
E028,Supervisor,Welding,Jamshedpur,462
E029,Technician,Rolling,Meramandali,782
E030,Operator,Electrical,Kalinganagar,829
E031,Maintenance,Mechanical,Jamshedpur,467
E032,Maintenance,Inspection,Jamshedpur,650
E033,Supervisor,Rolling,Kalinganagar,353
E034,Maintenance,Mechanical,Jamshedpur,869
E035,Operator,Inspection,Meramandali,869
E036,Technician,Rolling,Kalinganagar,515
E037,Operator,Mechanical,Kalinganagar,850
E038,Operator,Welding,Kalinganagar,664
E039,Technician,Welding,Jamshedpur,930
E040,Operator,Welding,Meramandali,847
E041,Operator,Mechanical,Jamshedpur,481
E042,Supervisor,Mechanical,Jamshedpur,621
E043,Supervisor,Rolling,Meramandali,555
E044,Maintenance,Electrical,Meramandali,732
E045,Supervisor,Mechanical,Kalinganagar,473
E046,Technician,Rolling,Jamshedpur,696
E047,Operator,Mechanical,Meramandali,585
E048,Technician,Welding,Jamshedpur,410
E049,Technician,Welding,Jamshedpur,688
E050,Operator,Mechanical,Jamshedpur,635
E051,Supervisor,Rolling,Meramandali,485
E052,Supervisor,Rolling,Kalinganagar,766
E053,Technician,Welding,Jamshedpur,791
E054,Maintenance,Electrical,Kalinganagar,828
E055,Operator,Welding,Jamshedpur,762
E056,Maintenance,Welding,Jamshedpur,546
E057,Technician,Mechanical,Kalinganagar,493
E058,Supervisor,Rolling,Kalinganagar,823
E059,Technician,Welding,Kalinganagar,913
E060,Operator,Welding,Meramandali,903
E061,Operator,Welding,Jamshedpur,520
E062,Supervisor,Electrical,Kalinganagar,568
E063,Supervisor,Welding,Jamshedpur,738
E064,Operator,Electrical,Kalinganagar,815
E065,Maintenance,Electrical,Meramandali,919
E066,Supervisor,Rolling,Jamshedpur,653
E067,Technician,Welding,Meramandali,905
E068,Operator,Inspection,Jamshedpur,401
E069,Supervisor,Mechanical,Meramandali,511
E070,Operator,Mechanical,Jamshedpur,540
E071,Operator,Mechanical,Jamshedpur,590
E072,Supervisor,Welding,Meramandali,602
E073,Operator,Mechanical,Jamshedpur,779
E074,Maintenance,Inspection,Jamshedpur,671
E075,Technician,Inspection,Kalinganagar,484
E076,Maintenance,Electrical,Kalinganagar,424
E077,Operator,Electrical,Meramandali,926
E078,Operator,Welding,Meramandali,568
E079,Maintenance,Rolling,Kalinganagar,420
E080,Technician,Inspection,Kalinganagar,511
E081,Supervisor,Mechanical,Meramandali,659
E082,Operator,Mechanical,Kalinganagar,456
E083,Technician,Inspection,Jamshedpur,459
E084,Technician,Inspection,Kalinganagar,565
E085,Maintenance,Rolling,Meramandali,620
E086,Supervisor,Inspection,Jamshedpur,444
E087,Supervisor,Inspection,Jamshedpur,353
E088,Maintenance,Rolling,Meramandali,618
E089,Technician,Electrical,Meramandali,787
E090,Operator,Welding,Jamshedpur,502
E091,Operator,Inspection,Meramandali,915
E092,Technician,Electrical,Jamshedpur,392
E093,Maintenance,Inspection,Jamshedpur,716
E094,Technician,Rolling,Meramandali,455
E095,Maintenance,Mechanical,Kalinganagar,508
E096,Technician,Rolling,Jamshedpur,772
E097,Operator,Rolling,Meramandali,690
E098,Supervisor,Rolling,Kalinganagar,513
E099,Operator,Electrical,Jamshedpur,831
E100,Technician,Rolling,Kalinganagar,708
